INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Theft of Motor Vehicle,103A AVE / 142ND ST,1,2020,20-13427,-122.8286403,49.1905182
Theft of Motor Vehicle,13000 57B AVE,1,2020,20-1135,-122.8617915,49.1074452
Theft of Motor Vehicle,12000 NEW MCLELLAN RD,1,2020,20-1780,-122.8903404,49.1025161
Theft of Motor Vehicle,7900 KING GEORGE BLVD,1,2020,20-2834,-122.8453433,49.1464226
Theft of Motor Vehicle,6200 142B ST,1,2020,20-3920,-122.8261241,49.2008828
Theft of Motor Vehicle,7000 144B ST,1,2020,20-7535,-122.8206627,49.1309772
Theft of Motor Vehicle,150TH ST / 58A AVE,1,2020,20-8469,-122.8066347,49.1092902
Theft of Motor Vehicle,14200 86TH AVE,1,2020,20-8516,-122.8290002,49.159624
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-13248,-122.8150381,49.1186419
Theft of Motor Vehicle,12400 82ND AVE,1,2020,20-14394,-122.8791038,49.1520486
Theft of Motor Vehicle,14900 59A AVE,1,2020,20-15884,-122.8094349,49.1105709
Theft of Motor Vehicle,7100 136B ST,1,2020,20-16267,-122.8435083,49.131665
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-11688,-122.8150381,49.1186419
Theft of Motor Vehicle,14800 57A AVE,1,2020,20-15805,-122.8123122,49.1070765
Theft of Motor Vehicle,7500 129A ST,1,2020,20-2730,-122.8636039,49.1389389
Theft of Motor Vehicle,14000 73RD AVE,1,2020,20-3216,-122.6925362,49.1352103
Theft of Motor Vehicle,8300 133A ST,1,2020,20-3223,-122.8525052,49.1536091
Theft of Motor Vehicle,12400 64TH AVE,1,2020,20-4280,-122.8790032,49.119196
Theft of Motor Vehicle,12700 80TH AVE,1,2020,20-9853,-122.8707863,49.1482135
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-641,-122.8150381,49.1186419
Theft of Motor Vehicle,5700 133RD ST,1,2020,20-7651,-122.8538132,49.1825492
Theft of Motor Vehicle,12300 83A AVE,1,2020,20-967,-122.8082191,49.1544342
Theft of Motor Vehicle,75A AVE / 144A ST,1,2020,20-4307,-122.8213017,49.1402492
Theft of Motor Vehicle,8400 141A ST,1,2020,20-9497,-122.8303259,49.1545297
Theft of Motor Vehicle,13700 72ND AVE,1,2020,20-11214,-122.8427847,49.1335284
Theft of Motor Vehicle,13400 72ND AVE,1,2020,20-13770,-122.8513925,49.1334771
Theft of Motor Vehicle,13500 88TH AVE,1,2020,20-14158,-122.8485839,49.162509
Theft of Motor Vehicle,13300 61A AVE,1,2020,20-14776,-122.8539277,49.114496
Theft of Motor Vehicle,134TH ST / 70B AVE,1,2020,20-15448,-122.8511414,49.1308189
Theft of Motor Vehicle,7200 145A ST,1,2020,20-15861,-122.8190134,49.1337669
Theft of Motor Vehicle,5900 131A ST,1,2020,20-16882,-122.857592,49.1098191
Theft of Motor Vehicle,15300 67TH AVE,1,2020,20-15982,-122.7975134,49.1244294
Theft of Motor Vehicle,14300 HAWKSTREAM DR,1,2020,20-2939,-122.8267397,49.1489343
Theft of Motor Vehicle,6000 145A ST,1,2020,20-14797,-122.8190134,49.1337669
Theft of Motor Vehicle,18700 88TH AVE,1,2020,20-3143,-122.7045363,49.1623421
Theft of Motor Vehicle,7100 177A ST,1,2020,20-5097,-122.7286731,49.131616
Theft of Motor Vehicle,18500 53RD AVE,1,2020,20-5654,-122.709794,49.0988648
Theft of Motor Vehicle,6400 184A ST,1,2020,20-6412,-122.7108677,49.1180596
Theft of Motor Vehicle,6400 195A ST,1,2020,20-7734,-122.6814293,49.11922939999999
Theft of Motor Vehicle,17700 60TH AVE,1,2020,20-8454,-122.7324348,49.1112896
Theft of Motor Vehicle,59A AVE / 177B ST,1,2020,20-9002,-122.73031,49.110513
Theft of Motor Vehicle,177A ST / 101ST AVE,1,2020,20-9161,-122.7307032,49.1862286
Theft of Motor Vehicle,16500 59A AVE,1,2020,20-12054,-122.7660645,49.1107848
Theft of Motor Vehicle,5800 177B ST,1,2020,20-13241,-122.7299801,49.1078406
Theft of Motor Vehicle,6000 MORGAN DR,1,2020,20-14742,-122.716055,49.1116444
Theft of Motor Vehicle,16700 63B AVE,1,2020,20-10407,-122.7598882,49.1178559
Theft of Motor Vehicle,9500 192ND ST,1,2020,20-4339,-122.6899462,49.1752502
Theft of Motor Vehicle,6000 189TH ST,1,2020,20-7502,-122.6994409,49.1115179
Theft of Motor Vehicle,17500 64TH AVE,1,2020,20-10462,-122.7378978,49.118355
Theft of Motor Vehicle,19200 68A AVE,1,2020,20-10959,-122.6909701,49.1271502
Theft of Motor Vehicle,9800 181ST ST,1,2020,20-11085,-122.7208763,49.1809638
Theft of Motor Vehicle,9800 181ST ST,1,2020,20-11085,-122.7208763,49.1809638
Theft of Motor Vehicle,176TH ST OFRP / TRANS CANADA HWY,1,2020,20-971,-122.7350746,49.0918921
Theft of Motor Vehicle,19000 72A AVE,1,2020,20-1719,-122.6958086,49.1344857
Theft of Motor Vehicle,5800 177B ST,1,2020,20-6179,-122.7299801,49.1078406
Theft of Motor Vehicle,7100 189TH ST,1,2020,20-8495,-122.6982457,49.13188419999999
Theft of Motor Vehicle,19400 63A AVE,1,2020,20-8718,-122.6855917,49.1179244
Theft of Motor Vehicle,18900 70B AVE,1,2020,20-11121,-122.6983792,49.1311548
Theft of Motor Vehicle,6100 SUNDANCE DR,1,2020,20-14203,-122.713394,49.1146866
Theft of Motor Vehicle,94TH AVE / 190TH ST,1,2020,20-16208,-122.69604,49.173392
Theft of Motor Vehicle,186TH ST / 60TH AVE,1,2020,20-17660,-122.707143,49.111389
Theft of Motor Vehicle,18700 68TH AVE,1,2020,20-3141,-122.7042715,49.126099
Theft of Motor Vehicle,168TH ST / 60TH AVE,1,2020,20-9847,-122.7567187,49.11154759999999
Theft of Motor Vehicle,5900 177B ST,1,2020,20-14377,-122.7303116,49.1095958
Theft of Motor Vehicle,18600 57TH AVE,1,2020,20-16783,-122.727518,49.105824
Theft of Motor Vehicle,18800 52ND AVE,1,2020,20-2921,-122.701599,49.0971084
Theft of Motor Vehicle,17700 58A AVE,1,2020,20-10002,-122.7322807,49.1086953
Theft of Motor Vehicle,16000 14TH AVE,1,2020,20-2676,-122.8457794,49.0276854
Theft of Motor Vehicle,2800 MCKENZIE AVE,1,2020,20-8459,-122.8827411,49.0534257
Theft of Motor Vehicle,15500 BLOCK ROSEMARY HEIGHTS CRES,1,2020,20-10621,-122.7926762,49.06129430000001
Theft of Motor Vehicle,15800 24TH AVE,1,2020,20-13704,-122.7851669,49.0455092
Theft of Motor Vehicle,16400 18TH AVE,1,2020,20-13706,-122.7681906,49.0347047
Theft of Motor Vehicle,14900 24A AVE,1,2020,20-13712,-122.8095486,49.0463269
Theft of Motor Vehicle,3100 184TH ST,1,2020,20-16378,-122.7126194,49.0581555
Theft of Motor Vehicle,16300 23A AVE,1,2020,20-3737,-122.767599,49.0447229
Theft of Motor Vehicle,1600 140TH ST,1,2020,20-5460,-122.834363,49.0312503
Theft of Motor Vehicle,14300 26TH AVE,1,2020,20-11488,-122.8260788,49.0490231
Theft of Motor Vehicle,16300 23A AVE,1,2020,20-11991,-122.767599,49.0447229
Theft of Motor Vehicle,3600 DEVONSHIRE DR,1,2020,20-7974,-122.7851234,49.0675626
Theft of Motor Vehicle,15400 48TH AVE,1,2020,20-12392,-122.7901345,49.0897977
Theft of Motor Vehicle,15200 34TH AVE,1,2020,20-3761,-122.801278,49.0637503
Theft of Motor Vehicle,3100 141ST ST,1,2020,20-5446,-122.8307477,49.0582468
Theft of Motor Vehicle,2300 160TH ST,1,2020,20-6209,-122.7787511,49.04480179999999
Theft of Motor Vehicle,2800 128TH ST,1,2020,20-9565,-122.8671159,49.1025326
Theft of Motor Vehicle,17100 24TH AVE,1,2020,20-3717,-122.7486803,49.0452941
Theft of Motor Vehicle,2600 156TH ST,1,2020,20-12637,-122.789893,49.0486099
Theft of Motor Vehicle,1700 AMBLE GREENE DR,1,2020,20-6083,-122.8582443,49.0331655
Theft of Motor Vehicle,3000 160TH ST,1,2020,20-5508,-122.7790257,49.05650319999999
Theft of Motor Vehicle,3100 184TH ST,1,2020,20-16378,-122.7126194,49.0581555
Theft from Motor Vehicle,13300 CENTRAL AVE,1,2020,20-541,-122.8543132,49.1905819
Theft from Motor Vehicle,12700 96A AVE,1,2020,20-607,-122.8705721,49.1778708
Theft from Motor Vehicle,9100 147A ST,1,2020,20-622,-122.813401,49.1682612
Theft from Motor Vehicle,11000 136TH ST,1,2020,20-707,-122.844707,49.2029618
Theft from Motor Vehicle,KING GEORGE BLVD / 96TH AVE,1,2020,20-713,-122.8456401,49.1770793
Theft from Motor Vehicle,12000 96TH AVE,1,2020,20-726,-122.8911495,49.17682629999999
Theft from Motor Vehicle,9000 PRINCE CHARLES BLVD,1,2020,20-1112,-122.8676325,49.1664571
Theft from Motor Vehicle,13000 103A AVE,1,2020,20-1164,-122.8620521,49.1907204
Theft from Motor Vehicle,13100 106TH AVE,1,2020,20-1166,-122.8597569,49.1949243
Theft from Motor Vehicle,13000 107A AVE,1,2020,20-1199,-122.8624021,49.1979756
Theft from Motor Vehicle,12500 KING GEORGE BLVD,1,2020,20-1356,-122.8796898,49.2059772
Theft from Motor Vehicle,13300 104TH AVE,1,2020,20-1392,-122.853667,49.191512
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-1687,-122.8433592,49.17649170000001
Theft from Motor Vehicle,9000 PRINCE CHARLES BLVD,1,2020,20-1743,-122.8676325,49.1664571
Theft from Motor Vehicle,13500 113TH AVE,1,2020,20-1791,-122.8481649,49.20807550000001
Theft from Motor Vehicle,10000 WHALLEY BLVD,1,2020,20-1833,-122.843169,49.1843253
Theft from Motor Vehicle,13600 100TH AVE,1,2020,20-800008,-122.8454059,49.1842491
Theft from Motor Vehicle,9400 128TH ST,1,2020,20-2174,-122.8675209,49.1736188
Theft from Motor Vehicle,9800 KING GEORGE BLVD,1,2020,20-2377,-122.8455116,49.1801408
Theft from Motor Vehicle,13400 CENTRAL AVE,1,2020,20-2398,-122.8503394,49.190124
Theft from Motor Vehicle,9600 134TH ST,1,2020,20-2734,-122.8513338,49.1773961
Theft from Motor Vehicle,13200 OLD YALE RD,1,2020,20-2747,-122.8556519,49.1874245
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-2976,-122.845107,49.186183
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-3202,-122.845107,49.186183
Theft from Motor Vehicle,13600 GROSVENOR RD,1,2020,20-3332,-122.8448092,49.19917299999999
Theft from Motor Vehicle,10600 KING GEORGE BLVD,1,2020,20-3345,-122.8449284,49.1955123
Theft from Motor Vehicle,9600 128TH ST,1,2020,20-3380,-122.8679552,49.17723119999999
Theft from Motor Vehicle,13100 107TH AVE,1,2020,20-3437,-122.8595312,49.1967829
Theft from Motor Vehicle,13400 102ND AVE,1,2020,20-3504,-122.8486668,49.1870554
Theft from Motor Vehicle,8900 CRICHTON DR,1,2020,20-3569,-122.8409102,49.1651541
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-3587,-122.8433592,49.17649170000001
Theft from Motor Vehicle,10700 BLOCK 139TH ST,1,2020,20-3721,-122.8364274,49.1969949
Theft from Motor Vehicle,9900 KING GEORGE BLVD,1,2020,20-3784,-122.8444935,49.1821931
Theft from Motor Vehicle,11000 SCOTT RD,1,2020,20-3865,-122.8789229,49.2019487
Theft from Motor Vehicle,10800 CITY PKWY,1,2020,20-4016,-122.8487967,49.1989026
Theft from Motor Vehicle,9700 123A ST,1,2020,20-4062,-122.8801308,49.180945
Theft from Motor Vehicle,10100 139TH ST,1,2020,20-4091,-122.836779,49.1861206
Theft from Motor Vehicle,13200 104TH AVE,1,2020,20-4412,-122.856726,49.1914792
Theft from Motor Vehicle,9400 132ND ST,1,2020,20-4443,-122.85655,49.1735431
Theft from Motor Vehicle,13700 108TH AVE,1,2020,20-4485,-122.8426951,49.1987827
Theft from Motor Vehicle,13500 102ND AVE,1,2020,20-4598,-122.8479846,49.1869421
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-4942,-122.8433592,49.17649170000001
Theft from Motor Vehicle,13400 KING GEORGE BLVD,1,2020,20-5090,-122.8510407,49.202303
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-5167,-122.8433592,49.17649170000001
Theft from Motor Vehicle,10600 KING GEORGE BLVD,1,2020,20-5321,-122.8449284,49.1955123
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-5496,-122.8433592,49.17649170000001
Theft from Motor Vehicle,11000 136TH ST,1,2020,20-5632,-122.844707,49.2029618
Theft from Motor Vehicle,11000 136TH ST,1,2020,20-5650,-122.844707,49.2029618
Theft from Motor Vehicle,10200 129A ST,1,2020,20-6009,-122.86389,49.1561207
Theft from Motor Vehicle,10500 140TH ST,1,2020,20-6497,-122.8337766,49.1933418
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-6518,-122.8433592,49.17649170000001
Theft from Motor Vehicle,10500 140TH ST,1,2020,20-6618,-122.8337766,49.1933418
Theft from Motor Vehicle,9400 132ND ST,1,2020,20-6637,-122.85655,49.1735431
Theft from Motor Vehicle,13400 108TH AVE,1,2020,20-6646,-122.851134,49.198698
Theft from Motor Vehicle,9900 WHALLEY BLVD,1,2020,20-6681,-122.8422795,49.18289009999999
Theft from Motor Vehicle,GROSVENOR RD / SELKIRK DR,1,2020,20-6843,-122.8391016,49.2023912
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-7074,-122.8433592,49.17649170000001
Theft from Motor Vehicle,13500 KING GEORGE BLVD,1,2020,20-7238,-122.8480233,49.2006198
Theft from Motor Vehicle,9500 128TH ST,1,2020,20-7302,-122.8679718,49.1771275
Theft from Motor Vehicle,9700 128TH ST,1,2020,20-7451,-122.8678821,49.1789549
Theft from Motor Vehicle,9700 KING GEORGE BLVD,1,2020,20-7571,-122.8454694,49.1795846
Theft from Motor Vehicle,10900 132A ST,1,2020,20-7599,-122.8545741,49.2008535
Theft from Motor Vehicle,128TH ST / 114TH AVE,1,2020,20-7723,-122.8674232,49.2098154
Theft from Motor Vehicle,12500 110TH AVE,1,2020,20-7813,-122.8759358,49.2026455
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-7882,-122.845107,49.186183
Theft from Motor Vehicle,9200 STUART CRES,1,2020,20-800033,-122.8578383,49.1701202
Theft from Motor Vehicle,13800 LAUREL DR,1,2020,20-7989,-122.8386076,49.1785813
Theft from Motor Vehicle,13200 105TH AVE,1,2020,20-8010,-122.8123885,49.1927388
Theft from Motor Vehicle,12300 IONA PL,1,2020,20-8061,-122.8814069,49.17382449999999
Theft from Motor Vehicle,13600 104TH AVE,1,2020,20-8107,-122.8454938,49.1915608
Theft from Motor Vehicle,12100 104TH AVE,1,2020,20-8152,-122.8815947,49.1916597
Theft from Motor Vehicle,9400 121ST ST,1,2020,20-8229,-122.8872806,49.17552329999999
Theft from Motor Vehicle,11100 SCOTT RD,1,2020,20-8237,-122.8775273,49.20328840000001
Theft from Motor Vehicle,13500 104TH AVE,1,2020,20-8349,-122.8476935,49.1915975
Theft from Motor Vehicle,10900 131ST ST,1,2020,20-8465,-122.8588681,49.2014011
Theft from Motor Vehicle,9200 137A ST,1,2020,20-8471,-122.8421024,49.1770592
Theft from Motor Vehicle,13600 GROSVENOR RD,1,2020,20-8486,-122.8448092,49.19917299999999
Theft from Motor Vehicle,11800 99A AVE,1,2020,20-8500,-122.8957608,49.18335829999999
Theft from Motor Vehicle,9500 126A ST,1,2020,20-8511,-122.8719601,49.1753999
Theft from Motor Vehicle,11500 96A AVE,1,2020,20-8688,-122.9040632,49.1779483
Theft from Motor Vehicle,101ST AVE / 139TH ST,1,2020,20-8746,-122.837189,49.1860376
Theft from Motor Vehicle,10000 137A ST,1,2020,20-8789,-122.8414224,49.185161
Theft from Motor Vehicle,12500 110TH AVE,1,2020,20-8811,-122.8759358,49.2026455
Theft from Motor Vehicle,10600 138TH ST,1,2020,20-9049,-122.8393635,49.1952234
Theft from Motor Vehicle,12800 96TH AVE,1,2020,20-9091,-122.8685679,49.1767121
Theft from Motor Vehicle,8800 139TH ST,1,2020,20-9102,-122.8371785,49.1632792
Theft from Motor Vehicle,9800 132A ST,1,2020,20-9119,-122.8552641,49.1249273
Theft from Motor Vehicle,12800 96A AVE,1,2020,20-9172,-122.8687654,49.1778807
Theft from Motor Vehicle,12700 102ND AVE,1,2020,20-9250,-122.8701261,49.1878375
Theft from Motor Vehicle,10000 WHALLEY BLVD,1,2020,20-9258,-122.843169,49.1843253
Theft from Motor Vehicle,13800 100TH AVE,1,2020,20-9291,-122.8395521,49.1842116
Theft from Motor Vehicle,9600 139TH ST,1,2020,20-9500,-122.8373629,49.17694729999999
Theft from Motor Vehicle,13000 106TH AVE,1,2020,20-9549,-122.8623653,49.1953235
Theft from Motor Vehicle,12200 KING GEORGE BLVD,1,2020,20-9670,-122.8847738,49.2057238
Theft from Motor Vehicle,13500 GATEWAY DR,1,2020,20-9841,-122.8498668,49.2007781
Theft from Motor Vehicle,96TH AVE / PRINCE CHARLES BLVD,1,2020,20-9856,-122.8641039,49.1770821
Theft from Motor Vehicle,13500 GATEWAY DR,1,2020,20-9913,-122.8498668,49.2007781
Theft from Motor Vehicle,9800 134TH ST,1,2020,20-9917,-122.8513095,49.1805841
Theft from Motor Vehicle,13100 98TH AVE,1,2020,20-10010,-122.8594131,49.1805503
Theft from Motor Vehicle,12100 103A AVE,1,2020,20-10034,-122.8862606,49.1902395
Theft from Motor Vehicle,10900 124TH ST,1,2020,20-10067,-122.878698,49.200434
Theft from Motor Vehicle,11100 SCOTT RD,1,2020,20-10098,-122.8775273,49.20328840000001
Theft from Motor Vehicle,11600 97TH AVE,1,2020,20-10113,-122.9012415,49.1790357
Theft from Motor Vehicle,9800 WHALLEY BLVD,1,2020,20-10232,-122.8413807,49.1808096
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-10257,-122.845107,49.186183
Theft from Motor Vehicle,13800 CENTRAL AVE,1,2020,20-10452,-122.8396345,49.1894865
Theft from Motor Vehicle,12800 104TH AVE,1,2020,20-10467,-122.8672185,49.1914494
Theft from Motor Vehicle,12600 97A AVE,1,2020,20-10520,-122.873409,49.1798659
Theft from Motor Vehicle,12500 110TH AVE,1,2020,20-10652,-122.8759358,49.2026455
Theft from Motor Vehicle,13900 102ND AVE,1,2020,20-10820,-122.8371369,49.1877611
Theft from Motor Vehicle,138TH ST / 107A AVE,1,2020,20-11045,-122.839652,49.19748209999999
Theft from Motor Vehicle,12900 106TH AVE,1,2020,20-11204,-122.8650159,49.1951152
Theft from Motor Vehicle,9900 125TH ST,1,2020,20-11296,-122.8750072,49.1839591
Theft from Motor Vehicle,9400 KING GEORGE BLVD,1,2020,20-11665,-122.8458645,49.1736894
Theft from Motor Vehicle,12700 99TH AVE,1,2020,20-11731,-122.870962,49.18224
Theft from Motor Vehicle,10600 138TH ST,1,2020,20-12649,-122.8393635,49.1952234
Theft from Motor Vehicle,13900 101ST AVE,1,2020,20-12792,-122.837189,49.1860376
Theft from Motor Vehicle,9800 KING GEORGE BLVD,1,2020,20-12854,-122.8455116,49.1801408
Theft from Motor Vehicle,10200 127A ST,1,2020,20-13239,-122.8696433,49.18699960000001
Theft from Motor Vehicle,9800 140TH ST,1,2020,20-13309,-122.8331923,49.1799044
Theft from Motor Vehicle,11100 124TH ST,1,2020,20-13398,-122.8786244,49.2043332
Theft from Motor Vehicle,13300 100TH AVE,1,2020,20-13665,-122.8540087,49.1841825
Theft from Motor Vehicle,13500 96TH AVE,1,2020,20-13790,-122.8484424,49.177046
Theft from Motor Vehicle,10900 125TH ST,1,2020,20-13827,-122.8755649,49.2007221
Theft from Motor Vehicle,98B AVE / 134TH ST,1,2020,20-14209,-122.8513408,49.1824221
Theft from Motor Vehicle,13700 101ST AVE,1,2020,20-14222,-122.8417383,49.1861215
Theft from Motor Vehicle,10200 133RD ST,1,2020,20-14275,-122.8540439,49.18798169999999
Theft from Motor Vehicle,9000 141A ST,1,2020,20-14415,-122.8314395,49.1664328
Theft from Motor Vehicle,11400 BRIDGEVIEW DR,1,2020,20-14792,-122.8618269,49.2118008
Theft from Motor Vehicle,106TH AVE / 140TH ST,1,2020,20-14854,-122.8341186,49.1951639
Theft from Motor Vehicle,10200 128TH ST,1,2020,20-14857,-122.8677103,49.188028
Theft from Motor Vehicle,13000 OLD YALE RD,1,2020,20-15003,-122.8622454,49.1898804
Theft from Motor Vehicle,12600 93A AVE,1,2020,20-15041,-122.8092628,49.1723903
Theft from Motor Vehicle,10500 138A ST,1,2020,20-15370,-122.8380481,49.193396
Theft from Motor Vehicle,10600 KING GEORGE BLVD,1,2020,20-15524,-122.8449284,49.1955123
Theft from Motor Vehicle,10800 SCOTT RD,1,2020,20-15579,-122.8823345,49.19927149999999
Theft from Motor Vehicle,13400 102ND AVE,1,2020,20-15596,-122.8486668,49.1870554
Theft from Motor Vehicle,UNIVERSITY DR / 108TH AVE,1,2020,20-15620,-122.8507709,49.1989287
Theft from Motor Vehicle,10900 130A ST,1,2020,20-15694,-122.8602596,49.2010909
Theft from Motor Vehicle,13700 99A AVE,1,2020,20-15733,-122.8402179,49.18313879999999
Theft from Motor Vehicle,102A AVE / UNIVERSITY DR,1,2020,20-15907,-122.8501643,49.1885222
Theft from Motor Vehicle,95TH AVE / 130A ST,1,2020,20-15940,-122.8613498,49.1755314
Theft from Motor Vehicle,12900 107TH AVE,1,2020,20-15946,-122.8650288,49.19684059999999
Theft from Motor Vehicle,10100 128A ST,1,2020,20-15949,-122.8657598,49.186138
Theft from Motor Vehicle,12800 107TH AVE,1,2020,20-15990,-122.8172594,49.1967527
Theft from Motor Vehicle,13300 CENTRAL AVE,1,2020,20-16051,-122.8543132,49.1905819
Theft from Motor Vehicle,13100 106TH AVE,1,2020,20-16116,-122.8597569,49.1949243
Theft from Motor Vehicle,12900 107A AVE,1,2020,20-16264,-122.8649744,49.1977884
Theft from Motor Vehicle,13300 OLD YALE RD,1,2020,20-16328,-122.853708,49.186603
Theft from Motor Vehicle,9500 132A ST,1,2020,20-16552,-122.8551288,49.1753285
Theft from Motor Vehicle,13400 104TH AVE,1,2020,20-16584,-122.8508088,49.1913778
Theft from Motor Vehicle,10200 126TH ST,1,2020,20-17038,-122.8723979,49.1882325
Theft from Motor Vehicle,9400 135TH ST,1,2020,20-125,-122.848412,49.140869
Theft from Motor Vehicle,11000 124TH ST,1,2020,20-680,-122.878468,49.20219669999999
